item_id,platform,thread_id,source_date,query_family,stratum,author_claimed_role,geography,red_flag_type,severity,evidence_status,hiring_action,firsthand_or_secondhand,conditional_reasoning,source_url,coder_1,coder_2,adjudicated,notes
HN_5070918,hackernews,5068413,2013-01-17,quality_first,hackernews,engineer,us,inflated_skill_duration,1,AMBIGUOUS,CONTINUE,secondhand,no,https://news.ycombinator.com/item?id=5070918,AMBIGUOUS|CONTINUE|sev1,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_39412664,hackernews,39412283,2024-02-17,quality_first,hackernews,hiring_mgr_selfclaimed,us,none,0,CLEAR,CONTINUE,firsthand,no,https://news.ycombinator.com/item?id=39412664,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_39744453,hackernews,39741230,2024-03-18,quality_first,hackernews,engineer,us,none,0,CLEAR,CONTINUE,secondhand,yes,https://news.ycombinator.com/item?id=39744453,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_2246385,hackernews,2245228,2011-02-21,quality_first,hackernews,hiring_mgr_selfclaimed,us,minor_formatting_error,1,AMBIGUOUS,BLOCK,firsthand,no,https://news.ycombinator.com/item?id=2246385,AMBIGUOUS|BLOCK|sev1,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_35398004,hackernews,35397271,2023-04-01,quality_first,hackernews,hiring_mgr_selfclaimed,us,inflated_responsibility,1,AMBIGUOUS,CONTINUE,firsthand,no,https://news.ycombinator.com/item?id=35398004,AMBIGUOUS|CONTINUE|sev1,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_35240702,hackernews,35237830,2023-03-21,technology_anachronism,hackernews,engineer,us,technology_anachronism,0,CLEAR,CONTINUE,secondhand,no,https://news.ycombinator.com/item?id=35240702,CLEAR|CONTINUE|sev0,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
HN_19062949,hackernews,19062042,2019-02-02,technology_anachronism,hackernews,ops_engineer_selfclaimed,us,fabricated_qualification,1,AMBIGUOUS,VERIFY,firsthand,no,https://news.ycombinator.com/item?id=19062949,AMBIGUOUS|VERIFY|sev1,AWAITING_SECOND_CODER,,"pilot, re-mapped v1->v2"
SE_88495,workplace.stackexchange,SEQ_88494,2017-04-04,background_check,workplace_se,hr_policy_advisor,unknown,month_or_date_mismatch,1,AMBIGUOUS,CONTINUE,secondhand,yes,https://workplace.stackexchange.com/a/88495,AMBIGUOUS|CONTINUE|sev1,AWAITING_SECOND_CODER,,minor month gap 3yr ago; 'most employers wouldn't bother checking'
SE_137241,workplace.stackexchange,SEQ_137240,2019-05-24,background_check,workplace_se,hr_policy_advisor,unknown,month_or_date_mismatch,1,AMBIGUOUS,CLARIFY,secondhand,no,https://workplace.stackexchange.com/a/137241,AMBIGUOUS|CLARIFY|sev1,AWAITING_SECOND_CODER,,resume correct vs bg-check mismatch -> reach out and clarify
SE_52785,workplace.stackexchange,SEQ_52784,2015-08-31,background_check,workplace_se,hr_policy_advisor,unknown,minor_formatting_error,1,CLEAR,CONTINUE,secondhand,yes,https://workplace.stackexchange.com/a/52785,CLEAR|CONTINUE|sev1,AWAITING_SECOND_CODER,,"'mistakes happen, typos happen, hiring companies understand'"
SE_136842,workplace.stackexchange,SEQ_136841,2019-05-18,overlap_india,workplace_se,hr_policy_advisor,india,employment_overlap,3,PROBABLE_CONTRADICTION,BLOCK,secondhand,no,https://workplace.stackexchange.com/a/136842,PROBABLE_CONTRADICTION|BLOCK|sev3,AWAITING_SECOND_CODER,,dual-employment risk -> do not proceed (India relieving/overlap)
SE_136966,workplace.stackexchange,SEQ_136841,2019-05-21,overlap_india,workplace_se,hr_policy_advisor,india,employment_overlap,3,PROBABLE_CONTRADICTION,DOWNRANK,secondhand,no,https://workplace.stackexchange.com/a/136966,PROBABLE_CONTRADICTION|DOWNRANK|sev3,AWAITING_SECOND_CODER,,dual employment -> don't accept; duration can't be reduced
SE_30873,workplace.stackexchange,SEQ_30869,2014-07-19,overlap_india,workplace_se,hr_policy_advisor,india,employment_overlap,2,AMBIGUOUS,CLARIFY,secondhand,yes,https://workplace.stackexchange.com/a/30873,AMBIGUOUS|CLARIFY|sev2,AWAITING_SECOND_CODER,,relieving-date/leave overlap -> finish formalities first (India)
HN_43628421,hackernews,43577490,2025-04-09,tech_anachronism,hackernews,engineer_interviewer,unknown,inflated_skill_duration,1,PROBABLE_CONTRADICTION,VERIFY,firsthand,no,https://news.ycombinator.com/item?id=43628421,PROBABLE_CONTRADICTION|VERIFY|sev1,AWAITING_SECOND_CODER,,"3yr exp claims many tools -> assess awareness of limits, learn on job (ANACHRONISM-relevant)"
HN_35139144,hackernews,35137873,2023-03-13,tech_anachronism,hackernews,engineer,unknown,technology_anachronism,0,AMBIGUOUS,CONTINUE,secondhand,no,https://news.ycombinator.com/item?id=35139144,AMBIGUOUS|CONTINUE|sev0,AWAITING_SECOND_CODER,,rejecting on stated years is gameable -> don't gate on claimed tenure (ANACHRONISM-relevant)
